"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"Mainland China","Mainland China","81,180","3,277","73,214","4,689","2020-03-24 15:00:00"
"Italy","Italy","69,176","6,820","8,326","54,030","2020-03-24 18:00:00"
"Hubei","Mainland China","67,801","3,160","60,324","4,317","2020-03-24 14:00:00"
"United States","United States","54,775","779","348","53,648","2020-03-25 01:00:00"
"Spain","Spain","39,885","2,808","3,794","33,283","2020-03-24 22:00:00"
"Germany","Germany","32,986","157","3,243","29,586","2020-03-25 01:00:00 * States (not updated after 31569) Baden-Württemberg 5996; Bavaria 6194; Berlin 1219; Brandenburg 436; Bremen 176; Hamburg 989; Hesse 1574; Mecklenburg-Vorpommern 202; Lower Saxony 1997; North Rhine-Westphalia 8749; Rhineland-Palatinate 1521; Saarland 402; Saxony 937; Saxony-Anhalt 336; Schleswig-Holstein 502; Thuringia 338; Source: @iceweasel"
"New York","United States","26,374","271","0","26,103","2020-03-25 01:00:00 * CTY: New York 15597; Westchester 3891; Nassau 2869; Suffolk 1880; Rockland 671; Orange 498; Albany 146; Dutchess 124; Erie 114; Monroe 106; Putnam 82; Onondaga 60; Saratoga 53; Schenectady 44; Ulster 35; Rensselaer 33; Sullivan 23; Columbia 18; Tompkins 16; Oneida 10; Niagara 10; Broome 9; Steuben 8; Wayne 6; Clinton 6; Ontario 6; Herkimer 4; Wyoming 4; Greene 4; Madison 4; Livingston 3; Chenango 3; Delaware 3; Chemung 3; Washington 3; Essex 3; Montgomery 3; Warren 2; Oswego 2; Hamilton 2; Cayuga 2; Cortland 2; Jefferson 2; Chautauqua 2; Allegany 2; Schoharie 1; Genesee 1; Otsego 1; Fulton 1; Tioga 1; St. Lawrence 1"
"Iran","Iran","24,811","1,934","8,913","13,964","2020-03-24 14:00:00"
"France","France","22,622","1,102","3,288","18,232","2020-03-24 22:00:00"
"Switzerland","Switzerland","9,877","122","131","9,624","2020-03-24 20:00:00"
"South Korea","South Korea","9,037","120","3,507","5,410","2020-03-24 11:00:00"
"United Kingdom","United Kingdom","8,164","423","140","7,601","2020-03-24 20:00:00"
