state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
AK,36,1,1,1,1,A,4,986,,0,,1022,3/23 19:00,3/24 14:01,2020-03-23T23:00:00Z,2020-03-24T18:01:00Z
AL,215,1,1,0,0,C,2,2106,,,0,2321,3/24 12:00,3/24 14:06,2020-03-24T16:00:00Z,2020-03-24T18:06:00Z
AR,218,1,1,1,1,A,4,947,0,22,0,1165,3/24 00:00,3/24 16:19,2020-03-24T04:00:00Z,2020-03-24T20:19:00Z
AZ,357,1,1,1,0,B,3,313,22,8,5,692,3/24 00:00,3/24 15:44,2020-03-24T04:00:00Z,2020-03-24T19:44:00Z
CA,2102,1,1,1,0,B,3,13452,12100,,40,27654,3/24 00:00,3/24 18:11,2020-03-24T04:00:00Z,2020-03-24T22:11:00Z
CO,720,1,1,1,1,A,4,5504,,72,7,6224,3/23 18:13,3/24 16:03,2020-03-23T22:13:00Z,2020-03-24T20:03:00Z
CT,618,1,1,1,1,A,4,4682,,71,12,5300,3/24 16:00,3/24 16:32,2020-03-24T20:00:00Z,2020-03-24T20:32:00Z
DC,137,1,1,1,1,A,4,1195,2,,2,1334,3/23 19:30,3/24 16:03,2020-03-23T23:30:00Z,2020-03-24T20:03:00Z
DE,91,1,1,0,0,C,2,36,,0,0,127,3/24 10:45,3/24 16:06,2020-03-24T14:45:00Z,2020-03-24T20:06:00Z
FL,1412,1,1,1,1,A,4,13127,1008,259,18,15547,3/24 11:00,3/24 16:08,2020-03-24T15:00:00Z,2020-03-24T20:08:00Z
GA,1026,1,1,1,1,A,4,4458,,,32,5484,3/24 12:00,3/24 16:08,2020-03-24T16:00:00Z,2020-03-24T20:08:00Z
HI,77,1,1,1,1,A,4,3589,,4,1,3666,3/23 18:00,3/24 15:57,2020-03-23T22:00:00Z,2020-03-24T19:57:00Z
IA,124,1,1,0,0,C,2,2315,,27,,2439,3/24 00:00,3/24 16:09,2020-03-24T04:00:00Z,2020-03-24T20:09:00Z
ID,50,1,1,1,1,A,4,1887,,,0,1937,3/23 19:00,3/24 15:56,2020-03-23T23:00:00Z,2020-03-24T19:56:00Z
IL,1551,1,1,1,1,A,4,9934,,,16,11485,3/24 00:00,3/24 16:05,2020-03-24T04:00:00Z,2020-03-24T20:05:00Z
IN,365,1,1,1,0,B,3,2566,,1,12,2931,3/24 11:00,3/24 15:56,2020-03-24T15:00:00Z,2020-03-24T19:56:00Z
KS,98,1,1,1,0,B,3,2086,,,2,2184,3/24 12:00,3/24 16:04,2020-03-24T16:00:00Z,2020-03-24T20:04:00Z
KY,124,1,1,1,1,A,4,1742,,,4,1866,3/23 17:00,3/24 16:08,2020-03-23T21:00:00Z,2020-03-24T20:08:00Z
LA,1388,1,1,1,1,A,4,7215,,271,46,8603,3/24 13:00,3/24 16:38,2020-03-24T17:00:00Z,2020-03-24T20:38:00Z
MA,1159,1,1,0,1,B,3,12590,,94,11,13749,3/24 12:30,3/24 16:10,2020-03-24T16:30:00Z,2020-03-24T20:10:00Z
MD,349,1,0,0,0,D,1,94,,,3,443,3/24 10:00,3/24 16:33,2020-03-24T14:00:00Z,2020-03-24T20:33:00Z
ME,125,1,1,1,1,A,4,3014,,,,3139,3/24 12:00,3/24 16:10,2020-03-24T16:00:00Z,2020-03-24T20:10:00Z
MI,1791,1,0,0,0,D,1,2069,,,24,3860,3/24 11:00,3/24 15:02,2020-03-24T15:00:00Z,2020-03-24T19:02:00Z
MN,262,1,1,1,1,A,4,5550,,21,1,5812,3/24 00:00,3/24 14:34,2020-03-24T04:00:00Z,2020-03-24T18:34:00Z
MO,183,1,1,0,0,C,2,369,,,3,552,3/23 15:00,3/24 15:38,2020-03-23T19:00:00Z,2020-03-24T19:38:00Z
MS,320,1,1,1,0,B,3,1552,,86,1,1872,3/23 19:00,3/24 14:44,2020-03-23T23:00:00Z,2020-03-24T18:44:00Z
MT,46,1,1,0,0,C,2,1643,,,,1689,3/24 10:00,3/24 14:46,2020-03-24T14:00:00Z,2020-03-24T18:46:00Z
NC,398,1,1,1,1,A,4,8141,,,0,8539,3/24 09:45,3/24 14:48,2020-03-24T13:45:00Z,2020-03-24T18:48:00Z
ND,34,1,1,1,0,B,3,1454,,5,0,1488,3/24 11:17,3/24 14:48,2020-03-24T15:17:00Z,2020-03-24T18:48:00Z
NE,52,1,1,1,1,A,4,975,,,0,1027,3/23 00:00,3/24 14:55,2020-03-23T04:00:00Z,2020-03-24T18:55:00Z
NH,101,1,1,1,0,B,3,1447,869,11,1,2417,3/23 09:00,3/24 14:56,2020-03-23T13:00:00Z,2020-03-24T18:56:00Z
NJ,3675,1,1,1,0,B,3,8325,45,,44,12045,3/24 01:30,3/24 16:15,2020-03-24T05:30:00Z,2020-03-24T20:15:00Z
NM,83,1,1,1,1,A,4,5890,,,,5973,3/23 00:00,3/24 15:02,2020-03-23T04:00:00Z,2020-03-24T19:02:00Z
NV,278,1,1,1,1,A,4,3954,0,,4,4232,3/23 14:59,3/24 15:05,2020-03-23T18:59:00Z,2020-03-24T19:05:00Z
NY,25665,1,1,0,1,B,3,65605,,3234,210,91270,3/24 11:30,3/24 15:28,2020-03-24T15:30:00Z,2020-03-24T19:28:00Z
OH,564,1,0,0,0,D,1,140,,145,8,704,3/24 14:00,3/24 14:20,2020-03-24T18:00:00Z,2020-03-24T18:20:00Z
OK,106,1,1,1,1,A,4,735,,25,3,841,3/24 08:00,3/24 14:31,2020-03-24T12:00:00Z,2020-03-24T18:31:00Z
OR,209,1,1,1,1,A,4,4350,,61,8,4559,3/24 11:00,3/24 15:44,2020-03-24T15:00:00Z,2020-03-24T19:44:00Z
PA,851,1,1,1,1,A,4,8643,,,7,9494,3/24 12:00,3/24 14:30,2020-03-24T16:00:00Z,2020-03-24T18:30:00Z
RI,106,1,1,1,0,B,3,1120,77,,,1303,3/23 00:00,3/24 14:26,2020-03-23T04:00:00Z,2020-03-24T18:26:00Z
SC,298,1,1,1,0,B,3,2012,,,5,2310,3/23 16:35,3/24 16:16,2020-03-23T20:35:00Z,2020-03-24T20:16:00Z
SD,30,1,1,1,1,A,4,790,268,,1,1088,3/24 12:30,3/24 15:30,2020-03-24T16:30:00Z,2020-03-24T19:30:00Z
TN,667,1,1,1,1,A,4,10517,,,2,11184,3/24 15:00,3/24 15:39,2020-03-24T19:00:00Z,2020-03-24T19:39:00Z
TX,410,1,1,1,1,A,4,10757,,,9,11167,3/23 21:00,3/24 14:19,2020-03-24T01:00:00Z,2020-03-24T18:19:00Z
UT,299,1,1,1,1,A,4,5524,,,1,5823,3/24 15:00,3/24 15:52,2020-03-24T19:00:00Z,2020-03-24T19:52:00Z
VA,290,1,1,1,1,A,4,4180,,45,7,4470,3/24 00:00,3/24 16:18,2020-03-24T04:00:00Z,2020-03-24T20:18:00Z
VT,95,1,1,1,1,A,4,1440,,,7,1535,3/24 13:00,3/24 15:43,2020-03-24T17:00:00Z,2020-03-24T19:43:00Z
WA,2221,1,1,1,1,A,4,31712,,,110,33933,3/23 18:07,3/24 15:43,2020-03-23T22:07:00Z,2020-03-24T19:43:00Z
WI,457,1,1,1,1,A,4,8237,,,5,8694,3/24 16:00,3/24 15:38,2020-03-24T20:00:00Z,2020-03-24T19:38:00Z
WV,20,1,1,1,0,B,3,610,0,1,0,630,3/23 00:00,3/24 14:10,2020-03-23T04:00:00Z,2020-03-24T18:10:00Z
WY,29,1,1,1,1,A,4,710,,,,739,3/24 00:00,3/24 14:08,2020-03-24T04:00:00Z,2020-03-24T18:08:00Z
PR,39,1,1,1,1,A,4,268,42,,2,349,3/23 07:00,3/24 14:29,2020-03-23T11:00:00Z,2020-03-24T18:29:00Z
AS,0,,,,,,,,,,0,0,3/24 00:00,3/24 14:06,2020-03-24T04:00:00Z,2020-03-24T18:06:00Z
GU,32,,,,,,,201,,5,1,233,3/24 06:45,3/24 16:09,2020-03-24T10:45:00Z,2020-03-24T20:09:00Z
MP,0,,,,,,,,,,0,0,3/23 01:30,3/24 14:38,2020-03-23T05:30:00Z,2020-03-24T18:38:00Z
VI,17,,,,,,,,,,0,17,3/23 20:30,3/24 15:44,2020-03-24T00:30:00Z,2020-03-24T19:44:00Z
